site_no,date,stage_height_max,category
08166200,2025-07-04,34.29,Major flooding
08166200,2004-06-09,20.53,Major flooding
08166200,2000-10-23,17.94,Moderate flooding
08166200,2007-05-25,15.21,Moderate flooding
08166200,2002-07-05,14.56,Moderate flooding
08166200,2001-11-15,13.52,Moderate flooding
08166200,2004-04-06,13.52,Moderate flooding
08166200,2010-04-16,13.51,Moderate flooding
08166200,2000-11-03,10.05,Minor flooding
08166200,1998-08-23,9.81,Minor flooding
08166200,2024-07-23,9.32,Minor flooding
08166200,2000-11-04,9.01,Minor flooding
